1000000012+1+{'lat': '50.34', 'lon': '2.05'}+444+view
1000000067+14+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000067+12+{'lat': '66.75', 'lon': '30.0'}+231+view
1000000067+7+{'lat': '50.34', 'lon': '2.05'}+276+view
1000000068+15+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000068+8+{'lat': '-23.5', 'lon': '-60.0'}+306+view
1000000068+24+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000069+1+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000069+1+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000069+9+{'lat': '50.34', 'lon': '2.05'}+486+view
1000000069+18+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000069+6+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000069+22+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000070+4+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000070+1+{'lat': '50.34', 'lon': '2.05'}+170+view
1000000071+1+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000071+18+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000071+20+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000071+12+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000071+13+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000071+8+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000072+8+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000072+15+{'lat': '66.75', 'lon': '30.0'}+231+view
1000000072+1+{'lat': '50.34', 'lon': '2.05'}+276+view
1000000072+11+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000073+6+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000073+19+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000074+27+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000074+16+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000074+8+{'lat': '50.34', 'lon': '2.05'}+486+view
1000000074+24+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000074+14+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000074+10+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000074+8+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000074+18+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000075+6+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000076+15+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000076+21+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000076+6+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000076+21+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000076+5+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000076+30+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000077+12+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000077+9+{'lat': '66.75', 'lon': '30.0'}+231+view
1000000077+27+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000078+13+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000078+3+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000079+21+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000079+3+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000079+1+{'lat': '50.34', 'lon': '2.05'}+486+view
1000000079+19+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000079+14+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000079+23+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000079+7+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000079+17+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000080+18+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000081+6+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000081+24+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000081+9+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000081+15+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000081+26+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000081+4+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000082+21+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000082+21+{'lat': '66.75', 'lon': '30.0'}+231+view
1000000082+30+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000083+16+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000083+25+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000084+19+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000084+9+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000084+3+{'lat': '50.34', 'lon': '2.05'}+486+view
1000000084+10+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000084+16+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000084+28+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000084+3+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000084+21+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000085+3+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000086+27+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000086+13+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000086+18+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000086+18+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000086+7+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000086+27+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000087+11+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000087+11+{'lat': '66.75', 'lon': '30.0'}+231+view
1000000087+13+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000087+20+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000088+7+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000088+4+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000088+25+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000089+18+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000089+9+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000089+21+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000089+3+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000089+22+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000089+21+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000089+24+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000090+16+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000091+16+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000091+2+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000091+2+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000091+18+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000091+17+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000091+14+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000092+15+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000092+3+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000092+15+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000092+30+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000093+27+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000093+27+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000093+14+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000093+18+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000094+4+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000094+4+{'lat': '-23.5', 'lon': '-60.0'}+95+view
1000000094+15+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000094+5+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000094+24+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000094+31+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000094+26+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000095+42+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000095+16+{'lat': '23.5', 'lon': '90.0'}+353+view
1000000096+4+{'lat': '23.5', 'lon': '90.0'}+366+view
1000000096+19+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000096+26+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000096+10+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000096+22+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000096+16+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000097+26+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000097+38+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000097+5+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000097+21+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000098+27+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000098+20+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000098+22+{'lat': '23.5', 'lon': '90.0'}+164+view
1000000098+23+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000099+17+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000099+20+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000099+10+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000099+27+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000099+20+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000099+11+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000100+2+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000101+21+{'lat': '66.75', 'lon': '30.0'}+243+view
1000000101+16+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000101+24+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000101+24+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000101+4+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000102+4+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000102+20+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000102+7+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000102+28+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000102+11+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000103+10+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000103+36+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000103+10+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000104+25+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000104+14+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000104+19+{'lat': '50.34', 'lon': '2.05'}+482+view
1000000104+29+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000104+13+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000104+24+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000105+29+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000105+15+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000106+44+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000106+1+{'lat': '23.5', 'lon': '90.0'}+107+view
1000000106+25+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000106+12+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000106+12+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000106+30+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000107+10+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000107+32+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000107+32+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000107+17+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000107+24+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000107+19+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000108+19+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000108+35+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000108+21+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000108+19+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000109+15+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000109+17+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000109+25+{'lat': '50.34', 'lon': '2.05'}+71+view
1000000109+18+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000109+8+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000110+34+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000110+32+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000110+16+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000111+31+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000111+9+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000111+47+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000111+23+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000111+29+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000111+28+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000111+19+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000112+22+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000112+40+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000112+48+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000112+16+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000112+3+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000112+14+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000113+32+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000113+18+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000113+9+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000113+6+{'lat': '50.34', 'lon': '2.05'}+259+view
1000000114+6+{'lat': '66.75', 'lon': '30.0'}+390+view
1000000114+12+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000114+28+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000114+23+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000114+9+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000115+6+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000115+38+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000115+33+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000116+20+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000116+44+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000116+15+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000116+11+{'lat': '66.75', 'lon': '30.0'}+99+view
1000000116+22+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000116+20+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000116+11+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000117+24+{'lat': '-23.5', 'lon': '-60.0'}+236+view
1000000117+36+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000117+10+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000117+1+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000117+26+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000117+37+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000118+13+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000118+25+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000118+28+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000119+42+{'lat': '-23.5', 'lon': '-60.0'}+498+view
1000000119+26+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000119+46+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000119+29+{'lat': '-23.5', 'lon': '-60.0'}+285+view
1000000119+19+{'lat': '-23.5', 'lon': '-60.0'}+343+view
1000000120+31+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000120+39+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000120+43+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000121+33+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000121+32+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000121+50+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000121+20+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000121+27+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000121+23+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000122+44+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000122+8+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000122+16+{'lat': '-23.5', 'lon': '-60.0'}+362+view
1000000122+12+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000122+22+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000122+37+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000123+45+{'lat': '23.5', 'lon': '90.0'}+286+view
1000000123+8+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000123+32+{'lat': '50.34', 'lon': '2.05'}+499+view
1000000123+37+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000124+18+{'lat': '-23.5', 'lon': '-60.0'}+498+view
1000000124+13+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000124+5+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000125+28+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000125+8+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000125+28+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000126+22+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000126+23+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000126+32+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000126+23+{'lat': '-23.5', 'lon': '-60.0'}+15+view
1000000126+45+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000126+3+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000127+47+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000127+44+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000127+19+{'lat': '-23.5', 'lon': '-60.0'}+362+view
1000000127+36+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000127+29+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000127+26+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000128+37+{'lat': '23.5', 'lon': '90.0'}+286+view
1000000128+34+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000128+33+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000129+34+{'lat': '-23.5', 'lon': '-60.0'}+498+view
1000000129+4+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000129+39+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000130+34+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000130+13+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000130+48+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000131+27+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000131+4+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000131+51+{'lat': '-23.5', 'lon': '-60.0'}+250+view
1000000131+41+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000131+41+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000131+6+{'lat': '23.5', 'lon': '90.0'}+382+view
1000000132+39+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000132+46+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000132+3+{'lat': '-23.5', 'lon': '-60.0'}+362+view
1000000132+54+{'lat': '66.75', 'lon': '30.0'}+464+view
1000000132+14+{'lat': '-23.5', 'lon': '-60.0'}+327+view
1000000132+20+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000132+33+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000133+52+{'lat': '23.5', 'lon': '90.0'}+286+view
1000000133+35+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000133+34+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000134+55+{'lat': '-23.5', 'lon': '-60.0'}+10+view
1000000134+51+{'lat': '-23.5', 'lon': '-60.0'}+498+view
1000000134+1+{'lat': '66.75', 'lon': '30.0'}+162+view
1000000134+52+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000134+29+{'lat': '66.75', 'lon': '30.0'}+442+view
1000000135+19+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000135+20+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000135+46+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000136+50+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000136+48+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000136+21+{'lat': '-23.5', 'lon': '-60.0'}+465+view
1000000136+56+{'lat': '-23.5', 'lon': '-60.0'}+250+view
1000000136+42+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000136+30+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000137+35+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000137+46+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000137+26+{'lat': '-23.5', 'lon': '-60.0'}+362+view
1000000137+55+{'lat': '66.75', 'lon': '30.0'}+464+view
1000000137+26+{'lat': '-23.5', 'lon': '-60.0'}+161+view
1000000137+33+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000138+15+{'lat': '23.5', 'lon': '90.0'}+286+view
1000000138+32+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000138+43+{'lat': '66.75', 'lon': '30.0'}+91+view
1000000138+47+{'lat': '50.34', 'lon': '2.05'}+110+view
1000000139+23+{'lat': '-23.5', 'lon': '-60.0'}+10+view
1000000139+45+{'lat': '-23.5', 'lon': '-60.0'}+498+view
1000000139+9+{'lat': '50.34', 'lon': '2.05'}+198+view
1000000139+14+{'lat': '66.75', 'lon': '30.0'}+442+view
1000000139+58+{'lat': '50.34', 'lon': '2.05'}+439+view
1000000140+18+{'lat': '23.5', 'lon': '90.0'}+206+view
1000000140+30+{'lat': '23.5', 'lon': '90.0'}+56+view
1000000140+34+{'lat': '66.75', 'lon': '30.0'}+472+view
1000000140+58+{'lat': '-23.5', 'lon': '-60.0'}+496+view
1000000140+52+{'lat': '-23.5', 'lon': '-60.0'}+438+view
1000000141+32+{'lat': '66.75', 'lon': '30.0'}+6+view
1000000141+45+{'lat': '-23.5', 'lon': '-60.0'}+246+view
1000000141+58+{'lat': '-23.5', 'lon': '-60.0'}+465+view
1000000141+39+{'lat': '-23.5', 'lon': '-60.0'}+250+view
1000000141+39+{'lat': '50.34', 'lon': '2.05'}+104+view
1000000141+44+{'lat': '-23.5', 'lon': '-60.0'}+307+view
1000000142+35+{'lat': '50.34', 'lon': '2.05'}+368+view
1000000142+1+{'lat': '66.75', 'lon': '30.0'}+375+view
1000000142+41+{'lat': '-23.5', 'lon': '-60.0'}+362+view
1000000142+46+{'lat': '66.75', 'lon': '30.0'}+464+view
1000000142+21+{'lat': '66.75', 'lon': '30.0'}+66+view
1000000143+20+{'lat': '23.5', 'lon': '90.0'}+286+view
1000000143+16+{'lat': '50.34', 'lon': '2.05'}+12+view
1000000143+33+{'lat': '66.75', 'lon': '30.0'}+91+view
